,net,con,in,ex,it,meanAA,stdAA,meanSpike,stdSpike,BurstD0,BurstD1,BurstD2,BurstD3,BurstD4,BurstD5,MeanNrActivationsPerAstrocyte
8,1,2,10,70,8,11791.289719626202,9848.706093685649,963.184,275.339931982268,192.6368,55.0679863964536,38.1032,10.420030218766199,29.631274226893897,5.018226749748839,8.30188679245283
9,1,2,10,70,9,12304.8971962617,10088.7613449527,1077.3039999999999,319.091277825014,215.4608,63.8182555650027,43.0792,11.8720767922045,28.883316359763604,4.98759087250383,9.61320754716981
0,2,0,10,70,0,15544.6168224299,11604.1533892487,1429.3120000000001,552.999159724497,285.8624,110.59983194489901,61.7568,23.231503906549,18.4428663887377,3.73192136910548,11.160377358490567
1,2,0,10,70,1,14867.1682242991,10876.3337791911,1192.152,444.847525446641,238.4304,88.9695050893282,51.9792,18.980306829975103,17.115726214512,3.46550305102514,10.641509433962264
2,2,0,10,70,2,15605.4672897196,10901.145194335999,1390.9520000000002,530.105987228969,278.1904,106.02119744579399,59.931999999999995,21.4259360588983,18.5905519527627,3.8460865611354302,11.556603773584905
3,2,0,10,70,3,15338.392523364499,11250.4264822646,1340.128,506.462791936387,268.0256,101.292558387277,59.6208,21.8764066372885,16.6827652547368,3.3302605840709596,11.801886792452832
4,2,0,10,70,4,15242.2710280374,11027.148901196599,1312.836,500.42286229148203,262.5672,100.084572458297,56.5,20.7458391008896,18.5258875226667,3.74980899848434,11.084905660377359
5,2,0,10,70,5,14781.971962616799,11002.3484642228,1235.428,463.79119096421,247.0856,92.75823819284192,54.1816,19.8519999355229,17.3292494717438,3.4854411811718498,10.367924528301886
6,2,0,10,70,6,15283.822429906499,11205.6133628476,1343.856,504.416259912386,268.7712,100.88325198247699,59.1536,21.542547830746496,17.081199750870002,3.46843422005583,11.226415094339623
7,2,0,10,70,7,16477.523364486,10800.6298945299,1193.86,465.508058362044,238.77200000000002,93.1016116724088,52.5968,20.483483828685,16.478287803453902,3.4588551916670096,11.405660377358492
8,2,0,10,70,8,15533.7196261682,11182.636497007099,1150.46,436.74605939836505,230.092,87.349211879673,50.1696,18.962194910927398,17.4581236201139,3.34083396562455,10.905660377358492
9,2,0,10,70,9,15890.4299065421,11182.2158397255,1376.308,522.189916731451,275.2616,104.43798334629,59.8288,21.6752128146415,17.7995338628115,3.7479675891445696,11.349056603773587
0,2,1,10,70,0,15897.691588785,11286.8024208006,1579.7479999999998,598.863200151754,315.9496,119.77264003035101,68.0544,23.332674099639803,18.041475616315502,4.04948671742106,12.066037735849054
1,2,1,10,70,1,17081.7757009346,11637.3664677551,1659.7120000000002,634.346470831201,331.9424,126.86929416623998,71.4288,25.4622318456179,17.923494873934604,3.62676810996192,12.424528301886792
2,2,1,10,70,2,16108.392523364499,12138.2501131152,1712.736,646.43198118905,342.5472,129.28639623781,71.5448,23.528073294683498,20.3401954815534,4.28492336914793,12.245283018867926
3,2,1,10,70,3,16649.785046728997,11308.862659645702,1608.66,606.74773044487,321.732,121.349546088974,66.2088,21.702396240046898,21.3424487791387,4.59674225854008,12.198113207547168
4,2,1,10,70,4,16025.7196261682,11934.506822611498,1702.976,641.058892321135,340.5952,128.211778464227,72.5024,24.732257362400198,19.4403569492325,3.9917666897108,12.179245283018869
5,2,1,10,70,5,16700.4112149533,11941.2142590456,1663.576,629.657065571411,332.7152,125.931413114282,72.42,24.9340458008723,17.852250235710002,3.83791452527498,11.915094339622641
6,2,1,10,70,6,16517.214953271003,11698.162649908001,1736.52,648.3967131317061,347.30400000000003,129.679342626341,72.48,23.5972066143431,20.413064747422602,4.457478643775691,12.301886792452832
7,2,1,10,70,7,16730.4953271028,11993.7352411592,1686.016,647.950349752201,337.2032,129.59006995043998,69.5232,23.3823219924797,21.325607637499,4.69170770513162,12.018867924528301
8,2,1,10,70,8,16152.5327102804,12195.9041679258,1798.368,685.1573020671971,359.6736,137.03146041343902,85.3496,36.535158133502,7.85181591922611,1.72485332951226,12.273584905660375
