"","x"
"(Intercept)",11.2452096517626
"in.",0.524360647135944
"ex",-2.76374117704958
"I(in.^2)",0.214555260991708
"I(ex^2)",0.190589162079297
"in.:ex",0.0603050619017403
"BurstD0",231.900035146959
