"","x"
"(Intercept)",68.7194476543511
"param_F",-53.2125498412665
"param_G",-13.8572787301611
"I(param_F^2)",10.7220780246903
"I(param_G^2)",6.05235358024741
"param_F:param_G",-8.96984598635715
