,net,con,y_astro,it,BurstD0,BurstD1,BurstD2,BurstD3,BurstD4,BurstD5,MeanNrActivationsPerAstrocyte
0,0.0,0.0,0.01,0.0,64.0736,19.08172798883791,8.0488,4.176354697580176,7.616387999985927,1.5367521542494171,1.0660377358490567
1,0.0,0.0,0.01,1.0,64.4688,18.942339521822536,8.3936,4.131048176915878,7.5845207384127695,1.4690744412404706,1.1037735849056605
2,0.0,0.0,0.01,2.0,74.9704,23.050766664907265,10.6576,5.291128635744928,7.423711783468151,1.3452230042734523,1.2547169811320755
3,0.0,0.0,0.01,3.0,65.57039999999999,19.825775239319146,8.7408,4.364769794616893,8.67035659723167,1.8077582717163416,1.0094339622641508
4,0.0,0.0,0.01,4.0,60.1416,18.151820554423736,7.533600000000002,3.8834509189637,7.2152676706585215,1.516820739747701,1.1226415094339623
5,0.0,0.0,0.01,5.0,72.6616,22.595437712954357,9.9816,5.196473942973253,7.812082602286159,1.4794454443099607,1.150943396226415
6,0.0,0.0,0.01,6.0,68.0352,20.763661549929004,8.816,4.488249547429376,8.19253539910001,1.7531486013340691,1.0943396226415094
7,0.0,0.0,0.01,7.0,68.1232,21.17234851781918,9.2688,4.746980783613939,7.847764162941076,1.5604947690555149,1.1226415094339623
8,0.0,0.0,0.01,8.0,79.64959999999998,23.45826122797681,11.7168,5.6584766289170085,8.885142626442079,1.7392711133537448,1.2735849056603774
9,0.0,0.0,0.01,9.0,69.5,20.426095074683264,9.288,4.623792382882259,7.825215584798873,1.6609973476803732,1.1886792452830188
10,0.0,1.0,0.01,0.0,82.08479999999999,24.917101134762845,12.4768,6.020114763025701,9.109915302210963,1.7634541691833991,1.179245283018868
11,0.0,1.0,0.01,1.0,70.896,21.223837164848398,9.856,4.77272919826801,8.737142939991411,1.7154698670505062,1.0
12,0.0,1.0,0.01,2.0,62.17439999999999,18.118763330867807,8.1008,3.9730793296887486,7.689775049652994,1.6167396608798186,0.8490566037735849
13,0.0,1.0,0.01,3.0,69.9664,19.903137216027027,9.5728,4.555003859493425,7.948766292587995,1.5223093518748152,1.0094339622641508
14,0.0,1.0,0.01,4.0,73.8384,21.341995348139307,10.2808,4.880167144678551,8.623860736089172,1.5963331321935372,1.0471698113207548
15,0.0,1.0,0.01,5.0,79.00319999999998,23.146766291644283,11.9384,5.633716840594671,8.702397414522844,1.6739488865197254,1.0471698113207548
16,0.0,1.0,0.01,6.0,79.9136,23.50025478670391,11.7072,5.5839222917229066,9.141528176992711,1.7450855449421874,1.0471698113207548
17,0.0,1.0,0.01,7.0,82.71039999999998,25.068219957547846,12.532,6.085735452679487,9.142689446070014,1.5891231743653358,1.1037735849056605
18,0.0,1.0,0.01,8.0,75.536,21.960037887034712,10.854399999999998,5.2800833932808295,8.62624651570325,1.6796685550137822,1.0849056603773586
19,0.0,1.0,0.01,9.0,77.7352,23.25432520973249,11.2168,5.561255052593794,8.927785532470105,1.5742465193920243,0.9339622641509434
20,0.0,2.0,0.01,0.0,57.0784,17.354282855825538,7.461600000000002,3.8098248568667823,7.908254483324741,1.6672277479520623,1.8867924528301887
21,0.0,2.0,0.01,1.0,60.2984,18.991191575043413,7.5472,4.071374726059982,6.861650727862152,1.4067863274841934,1.849056603773585
22,0.0,2.0,0.01,2.0,50.8632,15.671436620807937,5.747999999999999,2.9943974352112983,6.8385093145092775,1.6259250329192372,1.69811320754717
23,0.0,2.0,0.01,3.0,61.43279999999999,18.9968766948675,8.0032,4.152453462713339,8.152582932403673,1.7849670926435801,2.056603773584906
24,0.0,2.0,0.01,4.0,49.576,15.194506375660907,5.4888,3.0143049878869257,6.097968776912773,1.5072597419772058,1.5849056603773586
25,0.0,2.0,0.01,5.0,54.2072,16.482488530558733,6.611200000000001,3.4567780605644898,7.845330256463747,1.759654387235994,1.858490566037736
26,0.0,2.0,0.01,6.0,49.964,15.246575484350574,5.784,3.0465823474838163,7.351024202954777,1.675053334315192,1.5849056603773586
27,0.0,2.0,0.01,7.0,58.496,17.911589097564736,7.396799999999999,3.7894999353476715,7.8581775024721825,1.8114036368028537,2.160377358490566
28,0.0,2.0,0.01,8.0,56.8344,17.27757207017236,6.942399999999999,3.65432924625026,7.448148671314491,1.601758034462519,2.047169811320755
29,0.0,2.0,0.01,9.0,47.9312,14.847913879060586,5.2071999999999985,2.8825176773091954,6.256398466190082,1.5136863853892826,1.9339622641509435
30,1.0,0.0,0.01,0.0,46.0016,12.703586794287665,4.836800000000001,2.4492132941007814,7.013321639640452,1.5578343906579617,1.4056603773584906
31,1.0,0.0,0.01,1.0,43.6888,13.223540923670935,4.263999999999999,2.285271099891652,6.129186345489164,1.5940920213981271,1.3867924528301887
32,1.0,0.0,0.01,2.0,41.0608,11.808884086144635,3.7496,1.9685984455952408,6.351055414137784,1.861671613566388,1.3113207547169812
33,1.0,0.0,0.01,3.0,49.1472,14.343481172992837,5.252000000000001,2.7177078577360003,7.7558646617511435,1.9749576166443827,1.490566037735849
34,1.0,0.0,0.01,4.0,45.8184,12.77861265709232,4.6216,2.397000926157518,6.62348113164304,1.6828730138317305,1.481132075471698
35,1.0,0.0,0.01,5.0,44.9616,13.497725935875273,4.388,2.4213748160910566,6.367387043328245,1.5863398273785785,1.490566037735849
36,1.0,0.0,0.01,6.0,44.5472,11.932118510977002,4.2584,2.192484763915134,6.02205694616016,1.4797237046146108,1.339622641509434
37,1.0,0.0,0.01,7.0,53.1888,15.334307762660826,5.76,2.900593042810384,7.010449242117809,1.5541030118121717,1.5471698113207548
